source,end,CON,LAB,LDEM,UKIP,GRN,CON_LEAD
Opinium/Observer,2019-07-26,30,28,16,,5.0,2
YouGov/Sunday Times,2019-07-26,31,21,20,,8.0,10
ComRes/Sunday Express,2019-07-25,28,27,19,,4.0,1
YouGov/Times,2019-07-24,25,19,23,,9.0,6
YouGov/Times,2019-07-17,25,21,20,,8.0,4
ComRes/Britain Elects,2019-07-16,25,28,17,,5.0,-3
Survation/,2019-07-11,23,29,19,,3.0,-6
ComRes/Sunday Express,2019-07-11,24,28,15,,5.0,-4
YouGov/Times,2019-07-10,24,20,19,,9.0,4
ComRes/Telegraph,2019-07-07,25,28,16,,5.0,-3
Opinium/Observer,2019-07-05,23,25,15,1.0,8.0,-2
YouGov/Times,2019-07-03,24,18,20,,9.0,1
YouGov/Times,2019-06-25,22,20,19,1.0,10.0,0
Ipsos-MORI/Evening Standard,2019-06-25,26,24,22,1.0,8.0,2
Opinium/Observer,2019-06-20,20,26,16,2.0,6.0,-3
Survation/Mail on Sunday,2019-06-20,24,26,18,1.0,6.0,-2
YouGov/Times,2019-06-19,20,20,21,1.0,9.0,-2
YouGov/Sunday Times,2019-06-14,21,21,19,,9.0,-3
YouGov/Times,2019-06-10,17,19,22,,8.0,-4
ComRes/Telegraph,2019-06-09,23,27,17,1.0,5.0,-4
BMG/Independent,2019-06-07,26,27,17,1.0,6.0,-1
YouGov/Times,2019-06-06,18,20,20,1.0,9.0,-6
YouGov/,2019-06-05,18,19,22,,9.0,-3
YouGov/,2019-06-01,18,19,23,,10.0,0
Deltapoll/Mail on Sunday,2019-05-30,20,26,16,1.0,5.0,-2
Opinium/Observer,2019-05-30,17,22,16,1.0,11.0,-4
YouGov/Times,2019-05-29,19,19,24,1.0,8.0,-2
Survation/Daily Mail,2019-05-22,28,33,13,3.0,3.0,-5
NCPolitics/,2019-05-21,27,31,15,1.0,4.0,-4
Panelbase/Sunday Times,2019-05-21,21,31,13,3.0,5.0,-10
Opinium/Observer,2019-05-20,22,26,12,2.0,4.0,-1
Survation/Daily Mail,2019-05-17,27,32,13,2.0,3.0,-5
YouGov/Hope Not Hate,2019-05-17,24,24,18,2.0,6.0,0
Opinium/Observer,2019-05-16,22,29,11,2.0,3.0,-5
Ipsos-MORI/Evening Standard,2019-05-14,25,27,15,3.0,7.0,-2
YouGov/Times,2019-05-14,25,25,16,2.0,7.0,0
Hanbury/Politico,2019-05-13,21,30,13,2.0,5.0,-9
Kantar/,2019-05-13,25,34,15,4.0,3.0,-9
ComRes/Telegraph,2019-05-12,20,27,13,4.0,4.0,-7
Opinium/Observer,2019-05-10,22,28,11,4.0,6.0,-6
BMG/Independent,2019-05-10,27,30,18,3.0,6.0,-3
ComRes/Brexit Express,2019-05-09,19,27,14,3.0,5.0,-7
YouGov/Times,2019-05-09,24,24,16,2.0,7.0,0
Opinium/Peoples Vote,2019-05-07,25,30,11,4.0,5.0,-5
YouGov/,2019-04-30,29,29,13,2.0,5.0,0
YouGov/Times,2019-04-24,27,30,11,4.0,5.0,-3
Panelbase/Sunday Times,2019-04-24,27,36,8,5.0,3.0,-9
Opinium/Observer,2019-04-23,26,33,6,4.0,4.0,-7
ORB/Telegraph,2019-04-17,26,29,8,5.0,4.0,-3
YouGov/Times,2019-04-17,29,30,10,4.0,5.0,-1
ComRes/Brexit Express,2019-04-16,23,33,7,5.0,3.0,-10
Opinium/Observer,2019-04-12,29,36,8,11.0,4.0,-7
YouGov/Times,2019-04-11,28,32,11,6.0,5.0,-4
Hanbury/Open Europe,2019-04-08,31,40,8,8.0,5.0,-9
Kantar/,2019-04-08,32,35,11,7.0,4.0,-3
Survation/,2019-04-08,37,41,10,7.0,2.0,-4
ComRes/Telegraph,2019-04-07,32,32,7,9.0,3.0,0
BMG/Independent,2019-04-05,29,31,8,7.0,4.0,-2
YouGov/Times,2019-04-03,32,31,12,7.0,4.0,1
Deltapoll/Mail on Sunday,2019-03-30,32,35,7,6.0,2.0,-3
Opinium/Observer,2019-03-29,35,35,9,9.0,5.0,0
YouGov/Times,2019-03-25,36,33,11,4.0,4.0,3
ComRes/Leave Means Leave,2019-03-24,33,33,8,7.0,3.0,0
Opinium/Observer,2019-03-22,36,35,7,9.0,4.0,1
ComRes/Daily Express,2019-03-21,34,35,8,7.0,4.0,-1
Ipsos-MORI/Evening Standard,2019-03-19,38,34,8,7.0,4.0,4
ComRes/Telegraph,2019-03-17,34,35,8,6.0,3.0,-1
YouGov/Peoples Vote,2019-03-15,35,33,11,5.0,6.0,2
Survation/Daily Mail,2019-03-15,35,39,10,5.0,,-4
YouGov/Times,2019-03-15,35,31,12,6.0,5.0,4
Opinium/Observer,2019-03-15,38,34,8,8.0,3.0,4
Kantar/,2019-03-11,41,31,8,6.0,6.0,10
BMG/,2019-03-08,39,34,12,5.0,4.0,5
ComRes/Brexit Express,2019-03-05,36,34,8,6.0,3.0,2
YouGov/Times,2019-03-04,40,31,11,3.0,4.0,9
Opinium/Observer,2019-03-01,40,34,9,7.0,3.0,6
YouGov/Times,2019-02-23,41,30,10,5.0,4.0,11
Deltapoll/Mail on Sunday,2019-02-23,43,36,6,5.0,3.0,7
Opinium/Observer,2019-02-22,40,32,5,7.0,4.0,8
YouGov/Times,2019-02-19,41,33,10,4.0,4.0,8
Survation/Daily Mail,2019-02-18,40,36,10,5.0,2.0,4
Opinium/Observer,2019-02-15,37,37,8,7.0,4.0,0
Kantar/,2019-02-11,40,35,10,3.0,4.0,5
BMG/,2019-02-08,38,35,13,5.0,5.0,3
Ipsos-MORI/Evening Standard,2019-02-05,38,38,10,4.0,3.0,0
YouGov/Times,2019-02-04,41,34,10,4.0,4.0,7
Opinium/Observer,2019-02-01,41,34,8,7.0,4.0,7
Survation/Daily Mail,2019-01-30,38,39,9,4.0,2.0,-1
Opinium/Peoples Vote,2019-01-25,40,36,7,7.0,4.0,4
ICM/,2019-01-18,39,40,9,5.0,3.0,-1
Opinium/Observer,2019-01-18,37,40,7,7.0,4.0,-3
NCPolitics/,2019-01-17,41,39,8,4.0,2.0,2
ComRes/Sunday Express,2019-01-17,38,37,10,6.0,3.0,1
ComRes/Daily Express,2019-01-15,37,39,8,7.0,3.0,-2
Kantar/,2019-01-14,35,38,9,6.0,4.0,-3
YouGov/Times,2019-01-14,39,34,11,6.0,4.0,5
Survation/Daily Mail,2019-01-11,38,41,10,4.0,2.0,-3
BMG/Independent,2019-01-11,36,36,12,6.0,5.0,0
YouGov/Times,2019-01-07,41,35,11,4.0,3.0,6
YouGov/Peoples Vote,2019-01-04,40,34,10,4.0,4.0,6
Opinium/,2018-12-20,39,39,6,6.0,4.0,0
YouGov/Times,2018-12-17,41,39,7,4.0,3.0,2
YouGov/Peoples Vote,2018-12-14,40,36,10,4.0,3.0,4
Opinium/Observer,2018-12-14,38,39,8,6.0,4.0,-1
Populus/,2018-12-11,37,40,7,6.0,3.0,-3
BMG/,2018-12-07,37,38,12,4.0,4.0,-1
YouGov/Sunday Times,2018-12-07,38,37,10,3.0,4.0,1
Kantar/,2018-12-06,38,38,9,5.0,5.0,0
Ipsos-MORI/Evening Standard,2018-12-05,38,38,9,4.0,5.0,0
YouGov/Times,2018-12-04,40,38,9,4.0,4.0,2
ComRes/Sunday Express,2018-12-02,37,39,9,6.0,3.0,-2
YouGov/Times,2018-11-27,40,35,10,6.0,3.0,5
YouGov/Times,2018-11-19,39,36,8,6.0,4.0,3
ComRes/S Express/S Mirror,2018-11-15,36,40,9,7.0,3.0,-4
Opinium/Observer,2018-11-15,36,39,7,8.0,3.0,-3
Kantar/,2018-11-12,40,39,8,3.0,3.0,1
Panelbase/Constitutional Commission,2018-11-07,40,40,8,5.0,3.0,0
YouGov/Times,2018-11-05,41,37,8,4.0,4.0,4
Survation/Channel 4,2018-11-02,39,40,8,3.0,2.0,-1
YouGov/Times,2018-10-30,41,39,7,5.0,2.0,2
ICM/Guardian,2018-10-28,40,38,9,5.0,3.0,2
Deltapoll/Mirror,2018-10-26,43,40,6,5.0,2.0,3
YouGov/Times,2018-10-23,41,36,8,4.0,4.0,5
Ipsos-MORI/Evening Standard,2018-10-22,39,37,10,5.0,5.0,2
YouGov/Times,2018-10-15,41,36,9,4.0,3.0,5
Kantar/,2018-10-15,41,36,10,3.0,4.0,5
Opinium/Observer,2018-10-12,41,37,8,6.0,3.0,4
Survation/,2018-10-10,40,39,7,6.0,,1
YouGov/Times,2018-10-09,41,37,9,4.0,3.0,4
Opinium/Op,2018-10-05,39,39,7,6.0,3.0,0
BMG/Independent,2018-10-05,38,39,10,4.0,4.0,-1
YouGov/Times,2018-10-01,42,36,9,5.0,2.0,6
BMG/Huffington Post,2018-09-29,35,40,12,5.0,3.0,-5
Opinium/Observer,2018-09-28,39,36,9,6.0,3.0,3
ComRes/Express,2018-09-27,39,40,9,5.0,2.0,-1
YouGov/Times,2018-09-25,42,36,11,4.0,2.0,6
ICM/Guardian,2018-09-24,41,40,9,4.0,3.0,1
BMG/Huffington Post,2018-09-22,38,38,10,5.0,4.0,0
Opinium/Observer,2018-09-20,37,39,9,8.0,2.0,-2
YouGov/Times,2018-09-19,40,36,11,5.0,2.0,4
Ipsos-MORI/Evening Standard,2018-09-18,39,37,13,2.0,5.0,2
YouGov/Times,2018-09-13,40,36,11,4.0,3.0,4
Opinium/Observer,2018-09-13,39,38,7,6.0,3.0,1
Opinium/Observer,2018-09-13,39,38,7,6.0,3.0,1
Kantar/,2018-09-10,40,35,10,5.0,4.0,5
ICM/Guardian,2018-09-09,42,39,8,4.0,3.0,3
Survation/Daily Mail,2018-09-07,38,37,10,4.0,1.0,1
BMG/Independent,2018-09-07,37,38,11,7.0,4.0,-1
YouGov/Times,2018-09-04,39,35,11,5.0,4.0,4
Survation/,2018-09-01,37,41,6,7.0,2.0,-4
YouGov/Times,2018-08-29,39,37,10,5.0,3.0,2
YouGov/Times,2018-08-21,40,37,9,6.0,2.0,3
ICM/Guardian,2018-08-19,40,40,8,6.0,2.0,0
Opinium/Observer,2018-08-17,39,38,7,7.0,3.0,1
Deltapoll/Sun on Sunday,2018-08-16,37,40,8,6.0,5.0,-3
YouGov/Times,2018-08-14,41,38,8,6.0,3.0,3
Kantar/,2018-08-13,40,39,9,4.0,3.0,1
NCPolitics/,2018-08-13,38,40,8,5.0,2.0,-2
BMG/Independent,2018-08-10,37,39,10,5.0,5.0,-2
YouGov/Times,2018-08-09,39,35,10,7.0,3.0,4
ICM/Guardian,2018-08-05,39,40,7,6.0,3.0,-1
YouGov/Times,2018-07-31,38,38,10,6.0,3.0,0
Ipsos-MORI/Evening Standard,2018-07-24,38,38,10,6.0,3.0,0
YouGov/Times,2018-07-23,38,38,10,6.0,3.0,0
ICM/Guardian,2018-07-22,40,41,8,5.0,3.0,-1
YouGov/Times,2018-07-20,38,39,9,6.0,2.0,-1
YouGov/Times,2018-07-17,36,41,9,7.0,2.0,-5
Deltapoll/Sun on Sunday,2018-07-14,37,42,7,6.0,3.0,-5
Opinium/Observer,2018-07-13,36,40,8,8.0,3.0,-4
YouGov/Times,2018-07-11,37,39,10,6.0,3.0,-2
Kantar/,2018-07-09,40,38,9,3.0,3.0,2
ICM/Guardian,2018-07-09,41,39,9,4.0,3.0,2
YouGov/Times,2018-07-09,39,39,9,5.0,3.0,0
Survation/Mail on Sunday,2018-07-07,38,40,10,,,-2
BMG/,2018-07-05,39,37,10,3.0,4.0,2
YouGov/Times,2018-07-04,41,40,9,3.0,2.0,1
Ipsos-MORI/Evening Standard,2018-06-27,41,38,7,4.0,4.0,3
YouGov/Times,2018-06-26,42,37,9,3.0,3.0,5
ICM/Guardian,2018-06-24,41,40,9,3.0,3.0,1
Survation/Good Morning Britain,2018-06-20,41,38,7,3.0,3.0,3
YouGov/Times,2018-06-19,42,40,9,3.0,2.0,2
YouGov/Times,2018-06-12,42,39,8,3.0,2.0,3
ICM/Guardian,2018-06-10,42,40,8,3.0,3.0,2
BMG/Independent,2018-06-08,38,41,11,4.0,2.0,-3
Opinium/Observer,2018-06-07,42,40,7,3.0,2.0,2
YouGov/Times,2018-06-05,44,37,8,3.0,3.0,7
Survation/,2018-06-04,41,40,9,2.0,2.0,1
ICM/Guardian,2018-05-29,43,40,8,3.0,2.0,3
YouGov/Times,2018-05-29,42,39,9,3.0,2.0,3
Ipsos-MORI/Evening Standard,2018-05-22,40,40,7,2.0,5.0,0
YouGov/Times,2018-05-21,42,38,9,2.0,3.0,4
ComRes/Daily Mail,2018-05-17,41,41,7,3.0,3.0,0
Opinium/Observer,2018-05-16,43,39,6,4.0,3.0,4
YouGov/Times,2018-05-14,43,38,9,3.0,3.0,5
ICM/Guardian,2018-05-13,43,40,8,3.0,3.0,3
Survation/,2018-05-10,41,40,8,3.0,2.0,1
YouGov/Times,2018-05-09,43,38,9,2.0,2.0,5
BMG/,2018-05-04,39,39,10,4.0,3.0,0
YouGov/Times,2018-05-01,42,38,7,3.0,3.0,4
ComRes/Express,2018-04-29,40,40,9,5.0,3.0,0
ICM/Guardian,2018-04-29,42,39,8,4.0,3.0,3
YouGov/Times,2018-04-25,43,38,8,3.0,3.0,5
Ipsos-MORI/Evening Standard,2018-04-24,41,40,10,2.0,2.0,1
YouGov/Times,2018-04-17,43,38,8,3.0,3.0,5
Survation/Mail on Sunday,2018-04-14,40,40,9,3.0,1.0,0
BMG/,2018-04-13,39,38,11,3.0,4.0,1
ComRes/Sunday Express,2018-04-12,40,41,7,4.0,2.0,-1
Opinium/Observer,2018-04-12,40,40,7,5.0,2.0,0
YouGov/Times,2018-04-10,40,40,9,4.0,2.0,0
YouGov/Times,2018-04-05,42,41,7,4.0,2.0,1
NCPolitics/,2018-04-05,43,38,8,3.0,3.0,5
YouGov/Times,2018-03-27,43,39,8,3.0,2.0,4
ICM/Guardian,2018-03-18,44,41,8,1.0,2.0,3
BMG/,2018-03-16,38,40,10,4.0,3.0,-2
Opinium/Observer,2018-03-15,42,40,6,4.0,3.0,2
YouGov/Times,2018-03-15,42,39,7,3.0,3.0,3
Survation/GMB,2018-03-08,38,45,9,3.0,2.0,-7
Ipsos-MORI/,2018-03-07,43,42,6,2.0,2.0,1
YouGov/Times,2018-03-06,41,43,7,2.0,2.0,-2
ICM/Guardian,2018-03-04,43,42,7,2.0,3.0,1
YouGov/Times,2018-02-27,41,42,7,3.0,2.0,-1
YouGov/Times,2018-02-20,40,42,8,4.0,2.0,-2
ICM/Guardian,2018-02-19,42,43,7,2.0,3.0,-1
YouGov/Times,2018-02-13,40,41,8,2.0,4.0,-1
Kantar/,2018-02-12,39,39,8,2.0,4.0,0
BMG/,2018-02-09,40,40,8,4.0,5.0,0
Opinium/Observer,2018-02-08,42,39,7,5.0,2.0,3
YouGov/Times,2018-02-06,43,39,8,3.0,3.0,4
ICM/Guardian,2018-02-04,41,40,8,4.0,3.0,1
YouGov/Times,2018-01-29,42,42,6,2.0,3.0,0
Survation/,2018-01-29,40,43,8,3.0,1.0,-3
Ipsos-MORI/Standard,2018-01-23,39,42,9,3.0,2.0,-3
ICM/Guardian,2018-01-19,41,41,7,4.0,3.0,0
YouGov/Times,2018-01-17,41,42,7,3.0,2.0,-1
ICM/Guardian,2018-01-14,40,41,7,4.0,3.0,-1
BMG/,2018-01-12,40,41,8,3.0,2.0,-1
Opinium/Observer,2018-01-12,40,40,6,5.0,3.0,0
YouGov/Times,2018-01-08,40,41,9,3.0,2.0,-1
YouGov/Times,2017-12-20,40,42,7,4.0,1.0,-2
ICM/Sun on Sunday,2017-12-14,41,42,7,4.0,3.0,-1
Opinium/Observer,2017-12-14,39,41,7,6.0,2.0,-2
ICM/Guardian,2017-12-10,42,40,8,5.0,2.0,2
YouGov/Times,2017-12-10,42,41,7,4.0,2.0,1
BMG/Independent,2017-12-08,37,40,9,5.0,3.0,-3
YouGov/Times,2017-12-05,40,41,7,3.0,2.0,-1
ICM/Sun on Sunday,2017-12-01,40,41,8,4.0,3.0,-1
Survation/Mail on Sunday,2017-12-01,38,46,6,4.0,1.0,-8
Ipsos-MORI/Evening Standard,2017-11-28,37,39,9,4.0,4.0,-2
ICM/Guardian,2017-11-26,41,41,7,5.0,3.0,0
YouGov/Times,2017-11-23,39,41,7,4.0,3.0,-2
YouGov/Times,2017-11-20,40,43,7,3.0,2.0,-3
Kantar/,2017-11-20,42,38,9,5.0,3.0,4
Opinium/Observer,2017-11-16,40,42,6,5.0,2.0,-2
ICM/Guardian,2017-11-12,41,41,7,4.0,2.0,0
YouGov/Times,2017-11-08,40,43,6,4.0,2.0,-3
Ipsos-MORI/Evening Standard,2017-11-01,38,40,9,4.0,3.0,-2
YouGov/Times,2017-10-24,41,43,7,3.0,2.0,-2
ICM/Guardian,2017-10-23,42,42,7,3.0,2.0,0
YouGov/Times,2017-10-19,40,42,8,4.0,2.0,-2
YouGov/Times,2017-10-11,39,42,8,4.0,2.0,-3
ICM/Guardian,2017-10-08,41,41,7,4.0,2.0,0
Opinium/Observer,2017-10-06,40,42,5,5.0,2.0,-2
YouGov/Times,2017-10-05,40,42,7,4.0,2.0,-2
Survation/,2017-10-05,38,44,7,4.0,1.0,-6
